IDENTIFICATION (dénomination sociale),Nom commercial,Arrêté du,JORF – Date
17 JUIN MÉDIA,-,08/07/1999,30/07/1999
A2PRL,-,26/09/2000,05/10/2000
AB PRESSE,-,01/06/2006,29/06/2006
ABACA PRESS,-,03/05/1995,11/05/1995
ACCROCHE-PRESS’,-,07/04/2011,15/04/2011
ACTI OUEST (agriculture cours tendance informations ouest),-,28/07/2000,29/08/2000
ADA PRESSE,-,25/04/1995,03/05/1995
AEF INFO,AÉF,15/06/1999,25/06/1999
AGENCE CREAFEED,-,09/09/2016,21/09/2016
AGENCE DE PRESSE AGRICOLE DU SUD EST CENTRE,-,26/04/2024,16/06/2024
AGENCE DE PRESSE LEBOURG,-,14/12/1989,30/12/1989
AGENCE DE PRESSE SOCOPAG,-,05/03/1987,12/03/1987
AGENCE FEP,-,23/01/1998,31/01/1998
AGENCE FORUM NEWS,-,06/04/2012,03/05/2012
AGENCE FRANCE HEBDOS,APEI-ACTUALITES,27/04/1982,16/07/1982
AGENCE FRANCE-PRESSE,-,21/02/1962,02/03/1962
AGENCE MAXELE PRESSE,-,02/06/2015,23/06/2015
AGENCE OCCITANE DE PHOTO-PRESS,-,27/08/2012,08/09/2012
AGENCE PRESSE REPORTAGE HIPPIQUE,APRH,14/02/1966,25/02/1966
AGENCE RADIOPHONIQUE DE LA REUNION,A2R,16/04/2014,13/05/2014
AGENCE REUTER,-,21/02/1962,02/03/1962
AGRICULTURE INFORMATION,-,27/10/2005,09/11/2005
AIMV,-,27/06/2000,12/07/2000
ALCHIMIE MÉDIAS,-,02/12/2009,10/12/2009
ALETHEIA PRESS,,25/04/2019,10/05/2019
ALEXPRESS,-,03/08/2017,10/08/2017
ALIVIO,,03/04/2025,04/06/2025
ALLPIX PRESS,-,06/04/2012,03/05/2012
ALP,AGENCE LOCALE DE PRESSE,14/01/2015,14/02/2015
ALTIUS PROD,-,29/10/2008,24/02/2009
ALTIUS PROD MONTPELLIER,-,29/10/2008,24/02/2009
ANDIA,-,29/07/1991,09/08/1991
ANTIPODE,-,28/03/2011,05/04/2011
APM MÉDIA,-,21/08/1990,01/09/1990
ART PRESSE,-,28/02/1995,09/03/1995
ASSOCIATED PRESS LIMITED,-,21/02/1962,02/03/1962
ATLANPAGES INFOS,-,10/09/2003,20/09/2003
BABEL DOC,-,19/02/2016,27/02/2016
BACK TO YOU PRODUCTIONS,,25/04/2019,10/05/2019
BAL DES PRODUCTIONS,,26/07/2019,08/08/2019
BANGUMI PRESSE,-,15/05/2014,29/05/2014
BE PRESSE,-,07/06/2004,19/06/2004
BONNE COMPAGNIE,-,23/06/2009,27/06/2009
BRAINWORKS,-,08/03/2018,15/03/2018
BUREAU 233,-,13/09/2010,21/09/2010
C. PRODUCTIONS,-,05/11/1997,14/11/1997
CAMERA SUBJECTIVE,-,27/10/2005,09/11/2005
CAPA PRESSE,-,19/02/1990,24/02/1990
CARTEL PRESSE,-,14/01/2015,14/02/2015
CAT & CIE,,26/07/2022,04/08/2022
CENTRE FRANCE INFO REGION,BOOSTER,08/10/1998,22/10/1998
CHOUET'PRESS,BESTIMAGES,06/04/2012,03/05/2012
CITY PRESSE,,15/05/2023,22/06/2023
CL PICTURE OF PEOPLE,CL2P,26/02/2008,05/03/2008
CLAIR DE LUNE,-,23/06/2007,22/02/2008
CLPRESS,,02/08/2021,25/08/2021
COM. PRESSE,-,10/09/2003,20/09/2003
CONTACT PRESS IMAGES INC,-,27/03/1992,02/04/1992
COVENANT MEDIAS,,26/04/2024,16/06/2024
CRYSTAL PICTURES,-,18/03/2010,25/03/2010
DAVIDNIVIERE PHOTOGRAPHY,-,26/02/2015,19/03/2015
DÉCOUPAGES,-,23/06/2009,27/06/2009
DELTA ARTS,,30/03/2021,13/04/2021
DESTINATION SANTÉ,-,21/01/2004,18/03/2004
DIFFUSION D’ARTICLES D’INFORMATIONS SPECIALISEES ET INFORMATISEES,D.S.I.,23/08/1989,31/08/1989
DIORANEWS,6MEDIAS,08/03/2018,15/03/2018
DPPI MEDIA,-,06/04/2012,03/05/2012
DREAM WAY PRODUCTIONS,-,31/10/2002,09/11/2002
EBRA INFO,-,20/01/1983,11/08/1983
EBRA STUDIOS,-,14/12/1989,30/12/1989
ECLECTIC PRESSE,-,27/10/2005,09/11/2005
EDENPRESS,-,28/11/2009,10/04/2010
ÉLÉPHANT ET CIE,-,28/07/2000,29/08/2000
ELLE EST PAS BELLE LA VIE !,LPBV !,08/01/2003,11/01/2003
ETX STUDIO,-,06/06/2001,16/06/2001
EUROPE NEWS,-,23/12/1988,30/12/1988
FANNY PRODUCTIONS,-,16/03/2001,27/03/2001
FEELINGSIDE PRODUCTIONS,,24/09/2020,01/10/2020
FLAB PRESSE,-,26/02/2009,06/03/2009
FLOW MEDIA,,26/04/2024,16/06/2024
FORUM-MEDIA,-,14/01/2015,14/02/2015
FRANCE MEDIAS INTERNATIONAL,-,26/03/2013,06/04/2013
FRANCE.TV PRESSE,,24/01/2023,22/02/2023
GALAXIE PRESSE,-,25/01/1995,01/02/1995
GAMMA-RAPHO,-,27/08/2012,08/09/2012
GENTON PRESSE,,21/06/2022,05/07/2022
GLCDK MEDIA,-,03/05/2017,07/05/2017
GO FAST PRESS,-,14/01/2015,14/02/2015
GOOD NEWS PRESSE,G.N.P.,24/01/2008,02/02/2008
H & K,,15/06/1999,25/06/1999
HIKARI,-,05/07/2016,19/07/2016
ICON SPORT,-,24/01/2008,01/02/2008
IDALGO,-,13/04/2010,22/04/2010
IGP2,ALERT PRESS,06/04/2012,03/05/2012
IMAGESTADIUM,-,26/02/2009,06/03/2009
INTERNEP,-,15/06/1999,25/06/1999
IP3 PRESS,-,26/02/2008,05/03/2008
JARA PRESSE,-,25/01/2017,03/02/2017
JLP PHOTO AGENCY,-,26/02/2009,06/03/2009
JMC TELEPROGRAMMES,-,02/07/2025,27/09/2025
KARTAGEN,-,03/05/2017,07/05/2017
KCS PRESSE,-,03/05/2000,13/05/2000
KEMPINAIRE MILLEREAU SPORT PRESSE,-,27/03/2013,06/04/2013
KINOPRESSE,,05/12/2019,12/12/2019
KM PRESSE,-,03/06/2011,12/06/2011
KRAKEN FILMS,,25/10/2022,22/12/2022
L’A.M.I. AGENCE MULTIMEDIA D’INFORMATION,-,14/01/2015,14/02/2015
LA DÉPÊCHE NEWS,-,10/09/2003,20/09/2003
LA PALETTE à DOUDOUCE PAD,-,31/12/2009,12/01/2010
LA RIEUSE PROD,,27/04/2022,04/05/2022
LABEL IMAGES,,30/03/2021,13/04/2021
LABEL NEWS,-,19/02/2016,27/02/2016
LAG PRESSE,-,09/07/2018,18/07/2018
LES CHEMINEURS,,30/03/2021,13/03/2021
LES FILMS DE L'ODYSSEE,,26/07/2022,04/08/2022
LF PRODUCTION,,02/07/2025,27/09/2025
LINK PRODUCTION,-,02/11/2006,11/11/2006
LNJJ,-,28/03/2011,05/04/2011
MAGNUM PHOTOS,-,26/02/1962,02/03/1962
MAX P.P.P.,-,19/02/1993,27/02/1993
MAXIMAL NEWS TÉLÉVISION,-,08/01/2003,11/01/2003
MÉDIA SERVICES,-,14/01/2015,14/02/2015
MENTHE POIVREE LTD,-,03/05/2017,07/05/2017
NAJA,-,01/03/1989,11/04/1989
NEWS PICTURES,-,13/04/2010,22/04/2010
NMTV,-,08/10/1998,22/10/1998
NOMADES,-,24/01/2008,01/02/2008
OLIGOPRESSE,-,09/09/2016,21/09/2016
OR MEDIAS,-,19/02/2016,27/02/2016
ORANGE DOUCE,,21/06/2022,05/07/2022
PALLAS TV,-,08/07/2013,17/07/2013
PAPIXS,-,30/04/2009,15/05/2009
PARIS PRESS,-,10/09/2003,20/09/2003
PATRICK ROBERT PHOTO,-,31/08/2006,13/09/2006
